"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "XML", "JSON", "PostCSS", "comment", "blank", "total"
"c:\Users\Daniel\Desktop\micasitadelpan\AGENTS.md", "Markdown", 0, 0, 2, 0, 0, 0, 2, 2, 6
"c:\Users\Daniel\Desktop\micasitadelpan\CLAUDE.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 1, 2
"c:\Users\Daniel\Desktop\micasitadelpan\README.md", "Markdown", 0, 0, 23, 0, 0, 0, 0, 14, 37
"c:\Users\Daniel\Desktop\micasitadelpan\eslint.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 2, 3, 17
"c:\Users\Daniel\Desktop\micasitadelpan\jsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\Daniel\Desktop\micasitadelpan\next.config.mjs", "JavaScript", 0, 4, 0, 0, 0, 0, 2, 2, 8
"c:\Users\Daniel\Desktop\micasitadelpan\package-lock.json", "JSON", 0, 0, 0, 0, 10320, 0, 0, 1, 10321
"c:\Users\Daniel\Desktop\micasitadelpan\package.json", "JSON", 0, 0, 0, 0, 25, 0, 0, 1, 26
"c:\Users\Daniel\Desktop\micasitadelpan\postcss.config.mjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Daniel\Desktop\micasitadelpan\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\micasitadelpan\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\micasitadelpan\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\micasitadelpan\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\micasitadelpan\public\window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\api\users\[id]\route.js", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 4, 50
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\api\users\route.js", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 10, 54
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\categories\page.js", "JavaScript", 0, 250, 0, 0, 0, 0, 7, 21, 278
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\employees\[id]\page.js", "JavaScript", 0, 273, 0, 0, 0, 0, 0, 22, 295
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\employees\page.js", "JavaScript", 0, 289, 0, 0, 0, 0, 0, 25, 314
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\leading\page.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 1, 12
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\products\[id]\page.js", "JavaScript", 0, 428, 0, 0, 0, 0, 0, 31, 459
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\products\new\page.js", "JavaScript", 0, 271, 0, 0, 0, 0, 24, 30, 325
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\products\page.js", "JavaScript", 0, 210, 0, 0, 0, 0, 0, 20, 230
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\sales\page.js", "JavaScript", 0, 168, 0, 0, 0, 0, 1, 23, 192
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\schedules\page.js", "JavaScript", 0, 429, 0, 0, 0, 0, 3, 63, 495
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\seller-trips\[id]\page.js", "JavaScript", 0, 322, 0, 0, 0, 0, 7, 35, 364
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\seller-trips\new\page.js", "JavaScript", 0, 229, 0, 0, 0, 0, 6, 23, 258
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\dashboard\seller-trips\page.js", "JavaScript", 0, 169, 0, 0, 0, 0, 0, 16, 185
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 22, 0, 5, 27
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\layout.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 5, 29
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\lib\supabase.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Daniel\Desktop\micasitadelpan\src\app\page.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 16, 105
"c:\Users\Daniel\Desktop\micasitadelpan\src\components\sideBar.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 12, 140
"c:\Users\Daniel\Desktop\micasitadelpan\src\components\topBar.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Desktop\micasitadelpan\src\services\categoryService.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 5, 42
"c:\Users\Daniel\Desktop\micasitadelpan\src\services\productService.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 6, 49
"c:\Users\Daniel\Desktop\micasitadelpan\src\services\salesService.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Desktop\micasitadelpan\src\services\sellerTripService.js", "JavaScript", 0, 108, 0, 0, 0, 0, 7, 12, 127
"c:\Users\Daniel\Desktop\micasitadelpan\src\services\userService.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 1, 19
"Total", "-", 7, 3612, 26, 5, 10345, 22, 61, 417, 14495